keys,en,zh,de
JOURNAL_FALLBACK_SUGGESTION_2,Note what your gut noticed before everything collapsed.,記錄你在災難前察覺到的不安跡象。,"Beachten Sie, was Ihr Bauch bemerkt hat, bevor alles zusammengebrochen ist."
JOURNAL_FALLBACK_SUGGESTION_3,Describe the contradiction between ordered smiles and the entropy you measured.,描述笑容秩序與熵值之間的荒謬矛盾。,Beschreiben Sie den Widerspruch zwischen geordnetem Lächeln und der von Ihnen gemessenen Entropie.
JOURNAL_SUGGESTION_HINT,Tap a suggestion to start writing.,點選建議即可開始書寫。,"Tippen Sie auf einen Vorschlag, um mit dem Schreiben zu beginnen."
JOURNAL_AI_ERROR_PREFIX,AI error:,AI 錯誤：,KI-Fehler:
JOURNAL_AI_EMPTY_RESPONSE,AI returned nothing. Showing fallback reflections.,AI 未提供建議，改顯示預設選項。,Die KI hat nichts zurückgegeben. Fallback-Reflexionen werden angezeigt.
JOURNAL_SUMMARY_PROMPT_TEMPLATE,"Player diary entry:\n""%s""\n\nRecent mission context:\n%s\n\nLatest story excerpt:\n%s\n\nIn no more than %d words, write a single reflective sentence explaining why the player feels this way. Highlight the causal tension between reality and forced positivity.","玩家日記條目：\n""%s""\n\n近期任務脈絡：\n%s\n\n最新故事摘錄：\n%s\n\n請在 %d 個字以內寫出一句反思，說明玩家情緒的原因並凸顯現實與被迫正能量的拉扯。","Spielertagebucheintrag:\n""%s""\n\nKontext der letzten Mission:\n%s\n\nNeuester Auszug aus der Geschichte:\n%s\n\nSchreiben Sie in nicht mehr als %d Wörtern einen einzigen nachdenklichen Satz, der erklärt, warum der Spieler so denkt. Heben Sie die kausale Spannung zwischen Realität und erzwungener Positivität hervor."
JOURNAL_AI_GENERATING,AI analysis generating...,AI 分析生成中...,KI-Analyse generiert...
JOURNAL_SECTION_LATEST_STORY,Latest Experience,最新故事,Neueste Erfahrung
JOURNAL_SECTION_RECENT_EVENTS,Recent Events,近期事件,Aktuelle Ereignisse
JOURNAL_SECTION_AI_SUGGESTIONS,AI Reflection Suggestions,AI 反思建議,KI-Reflexionsvorschläge
JOURNAL_NO_STORY,No story recorded yet.,尚無故事記錄。,Noch keine Geschichte aufgezeichnet.
JOURNAL_GENERATING_SUMMARY,Generating story summary...,正在生成故事摘要...,Story-Zusammenfassung wird erstellt...
JOURNAL_NO_MILESTONES,No recent milestone.,沒有近期里程碑。,Kein aktueller Meilenstein.
JOURNAL_AI_FALLBACK,AI unavailable. Using fallback reflections.,"AI 無法使用,改用備援反思。",KI nicht verfügbar. Verwendung von Fallback-Reflexionen.
JOURNAL_LOADING_SUGGESTIONS,Loading suggestions...,載入建議中...,Vorschläge werden geladen...
JOURNAL_NO_EVENTS,No specific incidents were logged.,尚未記錄具體事件。,Es wurden keine spezifischen Vorfälle protokolliert.
JOURNAL_NO_NARRATIVE,No mission narrative yet.,尚未有任務敘事。,Noch keine Missionserzählung.
JOURNAL_AI_UNAVAILABLE,AI summary unavailable.,AI 摘要不可用。,KI-Zusammenfassung nicht verfügbar.
JOURNAL_ENTRY_SAVED,Entry Saved! Reality +%d,條目已儲存！現實值 +%d,Eintrag gespeichert! Realität +%d
JOURNAL_SAVED,Journal saved!,日記已儲存!,Tagebuch gespeichert!
JOURNAL_MISSION_OUTCOME,Mission outcome:,任務結果:,Missionsergebnis:
JOURNAL_NO_EXTRA_EVENTS,No additional events recorded.,尚無額外事件記錄。,Es wurden keine weiteren Ereignisse aufgezeichnet.
MENU_TITLE,GLORIOUS DELIVERANCE AGENCY 1,光榮拯救機構 1,GLORIOUS DELIVERANCE AGENCY 1
MENU_SUBTITLE,Stay Skeptical. Stay Awake.,"保持懷疑,保持清醒",Bleib skeptisch. Bleib wach.
MENU_NEW_GAME,NEW GAME,開始新遊戲,NEUES SPIEL
MENU_CONTINUE,CONTINUE,繼續,WEITERMACHEN
MENU_SAVE_LOAD,SAVE / LOAD,存檔 / 讀檔,SPEICHERN / LADEN
MENU_JOURNAL,JOURNAL,日記,ZEITSCHRIFT
MENU_ACHIEVEMENTS,ACHIEVEMENTS,成就,ERFOLGE
MENU_HOW_TO_PLAY,HOW TO PLAY,玩法說明,WIE MAN SPIELT
MENU_TERMS,TERMS & PRIVACY,使用條款,BEDINGUNGEN & DATENSCHUTZ
MENU_SETTINGS,SETTINGS,設定,EINSTELLUNGEN
MENU_QUIT,QUIT,離開,AUFHÖREN
MENU_CREATIVE_STATEMENT,CREATIVE STATEMENT,創作聲明,KREATIVES STATEMENT
MENU_LAST_SAVE_INFO,Last save: Reality %d | Missions %d | %s | %s,最近存檔:現實值 %d｜任務完成 %d｜%s｜%s,Letzte Speicherung: Reality %d | Missionen %d | %s | %S
MENU_AUTOSAVE,Autosave,自動存檔,Automatisch speichern
MENU_MANUAL_SAVE,Manual save,手動存檔,Manuelles Speichern
MENU_SLOT,Slot %d,槽位 %d,Steckplatz %d
MENU_SLOT_FMT,Slot %d,槽位 %d,Steckplatz %d
MENU_UNKNOWN_TIME,Unknown time,未知時間,Unbekannte Zeit
MENU_TIMESTAMP_FORMAT,%04d-%02d-%02d %02d:%02d,%04d年%02d月%02d日 %02d:%02d,%04d-%02d-%02d %02d:%02d
MENU_TIMESTAMP_FMT,%04d-%02d-%02d %02d:%02d,%04d年%02d月%02d日 %02d:%02d,%04d-%02d-%02d %02d:%02d
MENU_LAST_SAVE_FMT,Last save: Reality %d | Missions %d | %s | %s,最近存檔:現實值 %d｜任務完成 %d｜%s｜%s,Letzte Speicherung: Reality %d | Missionen %d | %s | %s
SAVELOAD_TITLE,Save / Load,存檔 / 讀檔,Speichern / Laden
SAVELOAD_SUBTITLE,Manage your progress,管理你的冒險進度,Verwalten Sie Ihren Fortschritt
SAVELOAD_INFO,"Choose a slot to load, overwrite, or delete. Autosave data appears above when available.",選擇存檔槽即可載入、覆寫或刪除;自動存檔會顯示在上方。,"Wählen Sie einen Slot zum Laden, Überschreiben oder Löschen aus. Daten zur automatischen Speicherung werden oben angezeigt, sofern verfügbar."
SAVELOAD_LOAD_AUTOSAVE,Load autosave,載入自動存檔,Automatische Speicherung laden
SAVELOAD_DELETE_AUTOSAVE,Delete autosave,刪除自動存檔,Automatische Speicherung löschen
SAVELOAD_REFRESH,Refresh,重新整理,Aktualisieren
SAVELOAD_CLOSE,Close,關閉,Schließen
SAVELOAD_EMPTY_HINT,No manual saves yet. Use a slot's Save button to create one.,目前沒有手動存檔。使用任一槽位的「存檔」按鈕建立進度。,"Noch keine manuellen Speicherungen. Verwenden Sie die Schaltfläche „Speichern“ eines Slots, um einen zu erstellen."
SAVELOAD_NO_AUTOSAVE,No autosave available.,目前沒有自動存檔。,Keine automatische Speicherung verfügbar.
SAVELOAD_SLOT,Slot %d,槽位 %d,Steckplatz %d
SAVELOAD_EMPTY_SLOT,Empty slot. Create a new save here.,"空槽位,可在此建立存檔。",Leerer Steckplatz. Erstellen Sie hier einen neuen Speicher.
SAVELOAD_SAVE,Save,存檔,Speichern
SAVELOAD_LOAD,Load,讀檔,Laden
SAVELOAD_DELETE,Delete,刪除,Löschen
SAVELOAD_SUMMARY,Reality %d | Entropy %d | Missions %d,現實 %d｜熵增 %d｜任務 %d,Realität %d | Entropie %d | Missionen %d
SAVELOAD_AUTOSAVE_SUMMARY,Autosave • Reality %d / Entropy %d / Missions %d,自動存檔 • 現實 %d / 熵增 %d / 任務 %d,Automatische Speicherung • Realität %d / Entropie %d / Missionen %d
SAVELOAD_UNKNOWN_TIME,Unknown time,時間未知,Unbekannte Zeit
SAVELOAD_TIMESTAMP,Saved on %04d-%02d-%02d %02d:%02d,%04d年%02d月%02d日 %02d:%02d 存檔,Gespeichert am %04d-%02d-%02d %02d:%02d
SETTINGS_AUDIO,Audio Settings,音訊設定,Audioeinstellungen
SETTINGS_MASTER_VOLUME,Master Volume:,主音量:,Master-Lautstärke:
SETTINGS_DELETE_LOGS,DELETE LOCAL LOGS,刪除本機記錄,LOKALE PROTOKOLLE LÖSCHEN
SETTINGS_DELETE_CONFIRM_TITLE,Delete Local Logs,刪除本機記錄,Lokale Protokolle löschen
SETTINGS_DELETE_CONFIRM_MSG,"This deletes locally stored logs, cached AI prompts, and in-memory event history. Continue?",這將刪除本機儲存的記錄、AI 快取與事件歷程。是否繼續?,"Dadurch werden lokal gespeicherte Protokolle, zwischengespeicherte KI-Eingabeaufforderungen und der Ereignisverlauf im Arbeitsspeicher gelöscht. Weitermachen?"
SETTINGS_DELETE,Delete,刪除,Löschen
SETTINGS_DEV_FORCE_COMPLETE_HINT,"When enabled, the AI will be instructed to end the mission on the very next turn, regardless of context.",啟用後，無論當前情境如何，AI 都會被指示在下一個回合強制結束任務。,"Wenn diese Option aktiviert ist, wird die KI angewiesen, die Mission unabhängig vom Kontext in der nächsten Runde zu beenden."
SETTINGS_DISPLAY_WINDOWED,Windowed,視窗化,Mit Fenster
SETTINGS_DISPLAY_FULLSCREEN,Fullscreen,全螢幕,Vollbild
SETTINGS_DISPLAY_BORDERLESS,Borderless Window,無邊框視窗,Randloses Fenster
SETTINGS_APPLIED,Settings applied!,設定已套用!,Einstellungen übernommen!
SETTINGS_LOGS_CLEARED,"Local logs cleared (%d files removed, %d caches reset).","已清除本機記錄(刪除檔案 %d 個,重設快取 %d 項)。","Lokale Protokolle gelöscht (%d Dateien entfernt, %d Caches zurückgesetzt)."
SETTINGS_LOGS_CLEAR_FAILED,Unable to clear logs because the game state service is unavailable.,"無法清除記錄,因遊戲狀態不可用。","Protokolle können nicht gelöscht werden, da der Spielstatusdienst nicht verfügbar ist."
# Debug Mode - Stat Modifiers,,,
SETTINGS_DEBUG_REALITY_SCORE,Reality Score:,現實值:,Realitätswert:
SETTINGS_DEBUG_POSITIVE_ENERGY,Positive Energy:,正能量值:,Positive Energie:
SETTINGS_DEBUG_ENTROPY_LEVEL,Entropy Level:,熵值:,Entropieniveau:
SETTINGS_DEBUG_HONEYMOON_CHARGES,Honeymoon Charges:,蜜月期次數:,Flitterwochengebühren:
SETTINGS_DEBUG_MISSION_TURN,Mission Turn Count:,任務回合數:,Anzahl der Missionsrunden:
# Debug Mode - Section Headers,,,
SETTINGS_DEBUG_QUICK_ACTIONS,Quick Actions,快速操作,Schnelle Aktionen
SETTINGS_DEBUG_TOGGLES,Game State Toggles,遊戲狀態切換,Spielstatus schaltet um
# Debug Mode - Quick Action Buttons,,,
SETTINGS_DEBUG_MAX_STATS,Max All Stats,全部屬性最大化,Alle Statistiken maximieren
SETTINGS_DEBUG_RESET_STATS,Reset All Stats,重置全部屬性,Alle Statistiken zurücksetzen
SETTINGS_DEBUG_CLEAR_DEBUFFS,Clear All Debuffs,清除所有減益,Beseitige alle Debuffs
SETTINGS_DEBUG_ADD_HONEYMOON,+5 Honeymoon Charges,+5 蜜月期次數,+5 Flitterwochengebühren
# Debug Mode - Toggles,,,
SETTINGS_DEBUG_AUTOSAVE,Enable Autosave,啟用自動存檔,Aktiviere die automatische Speicherung
SETTINGS_DEBUG_INFINITE_RESOURCES,Infinite Resources Mode,無限資源模式,Modus „Unendliche Ressourcen“.
SETTINGS_DEBUG_SKIP_DIALOGUE,Auto-Advance Dialogue,自動推進對話,Auto-Advance-Dialog
SETTINGS_DEBUG_GOD_MODE,God Mode (No Fail),上帝模式（無失敗）,Gott-Modus (kein Fehler)
# Debug Mode - Notification Messages,,,
SETTINGS_DEBUG_STATS_MAXED,All stats maximized!,全部屬性已最大化！,Alle Statistiken maximiert!
SETTINGS_DEBUG_STATS_RESET,All stats reset to defaults!,全部屬性已重置為預設值！,Alle Statistiken auf Standardwerte zurückgesetzt!
SETTINGS_DEBUG_DEBUFFS_CLEARED,All debuffs cleared!,所有減益已清除！,Alle Debuffs beseitigt!
SETTINGS_DEBUG_DEBUFF_SYSTEM_UNAVAILABLE,Debuff system not available,減益系統不可用,Debuff-System nicht verfügbar
SETTINGS_DEBUG_GAMESTATE_UNAVAILABLE,GameState not available,遊戲狀態不可用,GameState nicht verfügbar
SETTINGS_DEBUG_HONEYMOON_ADDED,Added 5 honeymoon charges!,已增加 5 次蜜月期次數！,5 Flitterwochengebühren hinzugefügt!
SETTINGS_DEBUG_AUTOSAVE_ENABLED,Autosave enabled,已啟用自動存檔,Automatisches Speichern aktiviert
SETTINGS_DEBUG_AUTOSAVE_DISABLED,Autosave disabled,已停用自動存檔,Automatisches Speichern deaktiviert
SETTINGS_DEBUG_INFINITE_RESOURCES_ENABLED,Infinite resources enabled,已啟用無限資源,Unendliche Ressourcen aktiviert
SETTINGS_DEBUG_INFINITE_RESOURCES_DISABLED,Infinite resources disabled,已停用無限資源,Unbegrenzte Ressourcen deaktiviert
SETTINGS_DEBUG_AUTO_ADVANCE_ENABLED,Auto-advance dialogue enabled,已啟用自動推進對話,Automatischer Dialogvorlauf aktiviert
SETTINGS_DEBUG_AUTO_ADVANCE_DISABLED,Auto-advance dialogue disabled,已停用自動推進對話,Dialog zum automatischen Vorrücken deaktiviert
SETTINGS_DEBUG_GOD_MODE_ENABLED,God mode enabled,已啟用上帝模式,Gottmodus aktiviert
SETTINGS_DEBUG_GOD_MODE_DISABLED,God mode disabled,已停用上帝模式,Gottmodus deaktiviert
ACHIEVEMENT_VIEWER_TITLE,ACHIEVEMENTS,成就,ERFOLGE
ACHIEVEMENT_VIEWER_CLOSE,CLOSE,關閉,SCHLIESSEN
ACHIEVEMENT_VIEWER_PROGRESS,Achievement Progress: %d/%d (%.1f%%),成就進度: %d/%d (%.1f%%),Erfolgsfortschritt: %d/%d (%.1f%%)
ACHIEVEMENT_VIEWER_UNLOCKED,Unlocked:,解鎖於:,Freigeschaltet:
ACHIEVEMENT_VIEWER_SETUP_REQUIRED, Setup Required, 需要設定,Einrichtung erforderlich
ACHIEVEMENT_VIEWER_SETUP_MSG,The Achievement System is not loaded.\n\nTo enable achievements:\n\n1. Open Project → Project Settings in Godot\n2. Go to the Autoload tab\n3. Click Add\n4. Set the path to: res://1.Codebase/src/scripts/core/achievement_system.gd\n5. Set the Node Name to: AchievementSystem\n6. Click Add to confirm\n7. Rebirths the game,成就系統未載入。\n\n設定步驟：\n\n1. 在 Godot 中打開 Project → Project Settings\n2. 進入 Autoload 標籤\n3. 點擊 Add\n4. 選擇: res://1.Codebase/src/scripts/core/achievement_system.gd\n5. 設定名稱為 AchievementSystem\n6. 勾選 Enable\n7. 重新啟動場景。,Das Erfolgssystem ist nicht geladen.\n\nSo aktiviere Erfolge:\n\n1. Öffne Projekt → Projekteinstellungen in Godot\n2. Gehen Sie zur Registerkarte „Autoload“\n3. Klicken Sie auf Hinzufügen\n4. Legen Sie den Pfad fest auf: res://1.Codebase/src/scripts/core/achievement_system.gd\n5. Setzen Sie den Knotennamen auf: AchievementSystem\n6. Klicken Sie zur Bestätigung auf „Hinzufügen“\n7. Belebt das Spiel neu
TUTORIAL_TITLE, Tutorial Tip,教學提示,Tutorial-Tipp
TUTORIAL_GOT_IT,Got it!,我知道了,Habe es!
TUTORIAL_SKIP_ALL,Skip all tutorials,跳過所有教學,Alle Tutorials überspringen
TUTORIAL_ALL_SKIPPED,All tutorials skipped,教程已全部跳過,Alle Tutorials wurden übersprungen
TERMS_ACCEPT,ACCEPT & CONTINUE,接受並繼續,AKZEPTIEREN & FORTFAHREN
STORY_EXIT_CONFIRM,Are you sure you want to return to the main menu? Unsaved progress will be lost.,確定要離開故事場景嗎?未保存的進度將丟失。,Möchten Sie wirklich zum Hauptmenü zurückkehren? Nicht gespeicherte Fortschritte gehen verloren.
STORY_EXIT_YES,"Yes, Exit","是的,離開","Ja, Ausstieg"
STORY_CANCEL,Cancel,取消,Stornieren
STORY_CONFIRM,Confirm,確認,Bestätigen
GLORIA_TITLE, Saint Gloria, 聖母 Gloria,Heilige Gloria
GLORIA_NEGATIVE_MESSAGE,You're being too negative...,你真是太負面了...,Du bist zu negativ...
GLORIA_CONTINUE,...Continue,...繼續,...Weitermachen
PRAYER_REALITY_CRITICAL, DANGER: Reality perception critically low! Prayer will cause catastrophic consequences!, 危險：現實感知極度低下！禱告將帶來災難性後果！,GEFAHR: Realitätswahrnehmung kritisch niedrig! Das Gebet wird katastrophale Folgen haben!
PRAYER_REALITY_WARNING," WARNING: Reality perception is low, prayer effects may spiral out of control...", 警告：現實感知偏低，禱告效果可能失控...,"WARNUNG: Die Realitätswahrnehmung ist gering, die Wirkung von Gebeten kann außer Kontrolle geraten ..."
PRAYER_NOTICE_TITLE,Data Usage Notice,資料使用告知,Hinweis zur Datennutzung
PRAYER_NOTICE_MSG,"[b]Before You Pray:[/b]\n\n• If using cloud models, your text will be sent to third-party AI services for processing.\n\n• Local models process everything on your device.\n\n• Prayer responses may contain unpredictable satirical content.",[]開始祈禱前請先了解：[/b]\n\n• 若選擇雲端模型，您輸入的文字將會傳送至第三方 AI 服務處理。\n\n• 本地模型則在本機處理。\n\n• 祈禱回應可能包含不可預測的諷刺內容。,"[b]Bevor Sie beten:[/b]\n\n• Wenn Sie Cloud-Modelle verwenden, wird Ihr Text zur Verarbeitung an KI-Dienste von Drittanbietern gesendet.\n\n• Lokale Modelle verarbeiten alles auf Ihrem Gerät.\n\n• Gebetsantworten können unvorhersehbare satirische Inhalte enthalten."
PRAYER_CANCEL,Cancel,取消,Stornieren
PRAYER_ERROR_EMPTY,Please enter your prayer,請輸入你的禱告內容,Bitte geben Sie Ihr Gebet ein
PRAYER_ERROR_TOO_SHORT,Prayer is too short,禱告內容太短了,Das Gebet ist zu kurz
PRAYER_ERROR_UNSUPPORTED,Prayer contains unsupported content,禱告內容包含不支援的格式,Das Gebet enthält nicht unterstützte Inhalte
PRAYER_ERROR_TOO_SHORT_FILTERED,Prayer is too short after filtering,移除受阻字詞後禱告太短,Das Gebet ist nach dem Filtern zu kurz
PRAYER_ERROR_AI_UNAVAILABLE,AI system not available,AI 系統不可用,KI-System nicht verfügbar
LOADING_GENERATING_STORY,Generating story...,生成故事中...,Geschichte generieren...
LOADING_CONSULTING_AI,Consulting AI oracle...,諮詢AI神諭...,Beratung von KI-Orakel...
LOADING_WEAVING_NARRATIVE,Weaving narrative threads...,編織敘事線索...,Erzählstränge weben...
QUICK_SAVE,Quick Save,快速存檔,Schnell speichern
QUICK_LOAD,Quick Load,快速讀檔,Schnelles Laden
QUICK_ACHIEVEMENTS,Achievements,成就,Erfolge
NIGHT_REFLECTION,Post-Mission Reflection,任務後的反思,Reflexion nach der Mission
NIGHT_HONEYMOON,Honeymoon Illusion,蜜月假象,Flitterwochen-Illusion
NIGHT_PRAY_AGAIN,Pray to the Flying Spaghetti Monster again.,再向飛天意粉神祈禱吧。,Beten Sie noch einmal zum Fliegenden Spaghettimonster.
STORY_SECTION_PLAYER_REFLECTION,## Player Reflection,## 玩家反思,## Spielerreflexion
STORY_SECTION_TEACHER_CONCERT,## Teacher Concert,## 老師演唱會,## Lehrerkonzert
STORY_SECTION_HONEYMOON_RECORD,## Honeymoon Period Record,## 蜜月期紀錄,## Flitterwochen-Rekord
STORY_DILEMMA_CLASSIC,Classic Dilemma,經典困境,Klassisches Dilemma
STORY_DILEMMA_SACRIFICE,Personal Sacrifice,個人犧牲,Persönliches Opfer
STORY_DILEMMA_DECEPTION,Noble Deception,高貴謊言,Edle Täuschung
STORY_DILEMMA_RESOURCE,Resource Allocation,資源分配,Ressourcenzuteilung
STORY_DILEMMA_AUTHORITY,Authority Challenge,權威挑戰,Autoritätsherausforderung
STORY_PRAYER_KEYWORD,pray/prayer,祈禱,beten/beten
CHOICE_SELECT_ACTION,Select Your Action,選擇你的行動,Wählen Sie Ihre Aktion aus
CHOICE_HOW_TO_PROCEED,Choose how you want to proceed...,選擇你想要如何進行...,"Wählen Sie, wie Sie fortfahren möchten..."
CHOICE_CANCEL,← Cancel,← 取消,← Abbrechen
CHOICE_PRAYER,[Prayer],[祈禱],[Gebet]
CHOICE_PRAYER_FSM,[Pray] Appeal to the Flying Spaghetti Monster,[祈禱] 向飛天意粉神祈禱,[Beten] Appell an das fliegende Spaghettimonster
